										
		PYRN Board V0 – BOM							nBoards	3
										
	..device	value	footprint	quantity	refdes	STATE	RS si possible	PU	PT/Board	PT
	AP1117-5.0	unknown	AP1117-SOT223	1	U4		http://fr.rs-online.com/web/p/regulateurs-de-tension-lineaires/7512894/	0,195	0,195	
	BNC	unknown	SMA	1	CONN5		http://fr.rs-online.com/web/p/connecteurs-sma/7595299/	3,96	3,96	
	CAPACITOR	0.22u	0402	1	C6				0	
	CAPACITOR	100n	0402	5	C13 C14 C15 C3 C4				0	
	CAPACITOR	10n(25v)	0402	1	C8				0	
	CAPACITOR	4.7u	0402	1	C7				0	
	CAPACITOR	nc	0402	4	C10 C11 C12 C9		NEED REF		0	
	CAPACITOR	unknown	0402	1	C5		NEED REF		0	
	DIODE	unknown	DO-214B	2	D1 D4		http://fr.rs-online.com/web/p/diodes-de-redressement-et-schottky/6291763/	0,316	0,632	
	DIODE	unknown	SOD323_BAT60	2	D2 D3		http://fr.rs-online.com/web/p/diodes-de-redressement-et-schottky/7146879/	0,087	0,174	
	FUSE	unknown	2PADFUSE	1	F1		NEED REF		0	
	INDUCTOR	unknown	0402	1	L1		NEED REF		0	
	L3GD20H	unknown	LGA16_L3GD20H	1	U7		/!\ - http://fr.farnell.com/jsp/search/productdetail.jsp?sku=2433080&CMP=KNC-GFR-FFR-GEN-SKU-G12&mckv=baoD7O6v|pcrid|49252926662|kword|l3gd20h|match|p|plid|	4,59	4,59	
	LSM303D	unknown	LGA16_LSM303D	1	U6		http://fr.rs-online.com/web/p/accelerometres/7919248/	3,874	3,874	
	MAX7Q	unknown	UMODULE-MAX7Q	1	U5		/!\ - https://shop-emea.u-blox.com/en/eur/3~100~EMEA/Positioning-modules/Standalone-positioning/MAX-series	44	44	
	MBED_LPC1769	unknown	LPC1768	2	U1		http://fr.rs-online.com/web/p/fiches-femelles-pour-ci/2546110/	6,68	13,36	
	MCP2551	unknown	SOIC_MCP2551	2	U2 U3		http://fr.rs-online.com/web/p/transceivers-can/7386036/	0,965	1,93	
	POLARIZED_CAPACITOR	10u (25v)	CAPA_ALUM_B	1	C2		http://fr.rs-online.com/web/p/condensateurs-aluminium/5369887/		0	
	POLARIZED_CAPACITOR	22u (6v lowESR)	1206	1	C1		http://fr.rs-online.com/web/p/condensateurs-tantale/6993286/	0,112	0,112	
	PWRJACK	unknown	dcplug_trav	1	CONN2		http://fr.rs-online.com/web/p/prises-dalimentation-dc/0448376/	4,01	4,01	
	RESISTOR	10k	0402	3	R6 R7 R8		http://fr.rs-online.com/web/p/resistances-cms/6784697/	0,039	0,117	
	RESISTOR	120 (nc)	0402	2	R1 R2		http://fr.rs-online.com/web/p/resistances-cms/8121748/	0,02	0,04	
	RESISTOR	4k7	0402	2	R3 R4		http://fr.rs-online.com/web/p/resistances-cms/6789392/	0,039	0,078	
	RESISTOR	unknown	0402	1	R5		NC – NEED REF		0	
	RJ45	unknown	MOLEX_RJ45_TRAV	1	CONN4		http://fr.rs-online.com/web/p/products/8006784/	1,36	1,36	
	USB-BOARD-TRANSFER	unknown	PIN_CONN_ANGLE_B	1	CONN1		http://fr.rs-online.com/web/p/barrettes-pour-ci/7019806/	1,002	1,002	
	USD-SOCKET	unknown	USD	1	SOCK1		http://fr.rs-online.com/web/p/supports-de-carte-sim-et-memoire/7768306/	2,64	2,64	
										
										
	usb socket			1			http://fr.rs-online.com/web/p/connecteurs-usb-type-a/7187224/	0,96		
	Cable 6brins			1			http://fr.rs-online.com/web/p/cable-industriel-multiconducteur/6604049/	15,53		
										
	pinboard									
	pipette composant									
	pate à braser									
										
								Total 1 Board	82,074	
								Total 3 Board	246,222	
