N° de ligne,Code Commande,Conforme RoHS ?,Remarques,Qté :,Référence du fabricant,Fabricant / Description,Livraison,Prix unitaire,Prix,Prix avec remise
1,2425768,YES,,8.0,"MCOT128064NZ-YM","Taille d'écran:24.38mm; Résolution:128 x 64; Zone d'affichage (H x L):12.058mm x 23.938mm; Taille de Pixel (H x l):0.148mm x ; Disponible jusqu'à épuisement du stock Equivalences disponibles",8 Disponible jusqu&#39;à épuisement du stock,10.3400,82.72,,
2,1759381,YES,,100.0,"MC0402X105M100CT","Gamme de produit:Série MC; Capacité:1µF; Tolérance de capacité:± 20%; Diélectrique:X5R; Tension:10V; Boîtier de condensateur Céramique:0402 [1005 Metric]; Température d'utilisation min",254220,0.0292,2.92,,
3,9239545,YES,,30.0,"RC0402FR-07390KL","Gamme de produit:Série RC; Résistance:390kohm; Puissance:63mW; Tolérance de résistance:± 1%; Tension:50V; Type de boîtier de résistance:0402 [1005 Metric]; Type de packaging:Bande",10645,0.0067,0.20,,
4,2059234,YES,,50.0,"ERJ2GEJ472X","Gamme de produit:Série AEC-Q200 ERJ; Résistance:4.7kohm; Puissance:100mW; Tolérance de résistance:± 5%; Tension:50V; Type de boîtier de résistance:0402 [1005 Metric]; Type de packagi",29647,0.0090,0.45,,
5,9471987,YES,,85.0,"MCPTCF-V","Force, fonctionnement:2.16N; Tension DC nominale du contact:12V; Courant de contact max.:50mA; Terminaisons commutateur:A souder; Gamme de produit:-; Configuration des contacts:SPST; Tempéra",Out of Stock,0.2180,18.53,,
6,1135099,YES,,30.0,"TPSA226K006R0900","Gamme de produit:Série TPS; Capacité:22µF; Tolérance de capacité:± 10%; Tension:6.3V; Boîtier de condensateur Tantale:1206 [3216 Metric]; Code Taille Fabricant:A; Température de",1404,0.5590,16.77,,
7,1432565,YES,,30.0,"TPSA106K010R0900","Gamme de produit:Série TPS; Capacité:10µF; Tolérance de capacité:± 10%; Tension:10V; Boîtier de condensateur Tantale:1206 [3216 Metric]; Code Taille Fabricant:A; Température de fo",2062,0.7430,22.29,,
8,2401106,YES,,30.0,"ASMB-MTB1-0A3A2","Taille de l'ampoule:2.4mm; Couleur de LED:Rouge, Vert, Bleu; Intensité lumineuse / couleur:R 780mcd, G 2280mcd, B 450mcd; Angle, vision:115°; Tension Vf / Couleur:R 2.1V, V 3.1V, B 3.1V; Cour",12943,0.2240,6.72,,
9,1700688,YES,,50.0,"BSR14","TRANSISTOR TYPE:BIPOLAR; TRA; Polarité transistor:NPN; Tension Collecteur-Emetteur V(br)ceo:40V; Fréquence de transition ft:300MHz; Dissipation de puissance Pd:350mW; Courant de collecteur DC:800mA; Gain en c",16080,0.1630,8.15,,
10,2118127,YES,,30.0,"C0402C225M8PACTU","Gamme de produit:Série C; Capacité:2.2µF; Tolérance de capacité:± 20%; Diélectrique:X5R; Tension:10V; Boîtier de condensateur Céramique:0402 [1005 Metric]; Température d'utilisation",39299,0.0856,2.57,,
11,9239359,YES,,210.0,"RC0402FR-0710KL.","Gamme de produit:Série RC; Résistance:10kohm; Puissance:62.5mW; Tolérance de résistance:± 1%; Tension:50V; Type de boîtier de résistance:0402 [1005 Metric]; Type de packaging:Bande",67467,0.0066,1.39,,
12,1645325,YES,,23.0,"ZX62-B-5PA(11)","Type de connecteur USB:Micro USB Type B; Standard USB:USB 2.0; Genre:Embase; Nombre de Positions:5; Montage connecteur:Montage en surface; Orientation:Coudée; Matériau du contact:Alliage",10944,0.6450,14.84,,
13,2491473,YES,,30.0,"TMCMA0G227MTRF","Gamme de produit:TMCM Series; Capacité:220µF; Tolérance de capacité:± 20%; Tension:4V; Boîtier de condensateur Tantale:1206 [3216 Metric]; Code Taille Fabricant:A; Température de fon",1685,1.0500,31.50,,
14,1825291,YES,,25.0,"AP1117E33G-13","Tension, entrée min.:4.8V; Tension, entrée max..:18V; Tension de sortie Nom.:3.3V; Courant, sortie:1A; Tension, déclenchement:1.3V; Type de boîtier Régulateur LDO:SOT-223; Nombre de broches:3;",11855,0.4120,10.30,,
15,9402047,YES,,50.0,"CC0402KRX7R7BB104","Gamme de produit:Série CC; Capacité:0.1µF; Tolérance de capacité:± 10%; Diélectrique:X7R; Tension:16V; Boîtier de condensateur Céramique:0402 [1005 Metric]; Température d'utilisation",193839,0.0320,1.60,,
16,2072516,YES,,50.0,"MCMR04X1001FTL","Gamme de produit:Série MCMR; Résistance:1kohm; Puissance:63mW; Tolérance de résistance:± 1%; Tension:50V; Type de boîtier de résistance:0402 [1005 Metric]; Type de packaging:Bande déc",417922,0.0141,0.71,,
17,2072927,YES,,50.0,"MCMR04X3300FTL","Gamme de produit:Série MCMR; Résistance:330ohm; Puissance:62.5mW; Tolérance de résistance:± 1%; Tension:50V; Type de boîtier de résistance:0402 [1005 Metric]; Type de packaging:Ban",52952,0.0145,0.73,,
18,2496930,YES,,30.0,"0603X475K6R3CT","Gamme de produit:-; Capacité:4.7µF; Tolérance de capacité:± 10%; Diélectrique:X5R; Tension:6.3V; Boîtier de condensateur Céramique:0603 [1608 Metric]; Température d'utilisation m",389939,0.0348,1.04,,

,,,,,,,Sous-total,223.41
,,,,,,,Total des marchandises,223.41
,,,,,,,Livraison de base,0.00
,,,,,,,TVA,Unknown
,,,,,,,Total,223.41
